,index,UserId,Summary,AvgScore,Summary_Clean
0,5,A10NQKIG7NXUR7,"['Did not fit on with V&H power duals', 'Good Quality Patch', 'Nice addition', 'Husky (2013 Fusion) floor liner.', ""Perfect for the wife's vest"", 'Nice patch', 'Great Spoiler, Great Savings', 'Crome Nose trim', 'Ventshade 2013 Ford Fusion', 'Nice Fit Easy Shift', 'Nice for exterior Decal', 'Much better ride than OEM', 'Works for My Samsung Galaxy Nexus / VW EOS', 'Very comfortable', 'May take some getting used to.', 'Perfect Fit', 'Not Plastic :) All aluminum.', ""Can't go wrong with these Chaps"", 'Five Stars', 'Swing Case', 'Zipper short, otherwise OK', 'Good Helmet Lots of Compliments', 'Be aware of install with V&H', 'Much more comfortable', 'Perfect road slop protection', 'Does the job', 'Nice emblem', 'Fits good, Looks nice', 'Easy to install and looks great', 'Easy one, and look nice', 'Looks a bit different in image', 'I ordered this cusion but recieved the 89.95 airhawk 2 instead, not once but twice.', 'Not very appealing', 'Does what it is supposed to.', 'Was cut on graphic area but did not catch in time to return', 'Nice interiour cling on sticker', 'Very limited dome but good colors.', 'This is a better deal than previous dash brush', 'Liv2RYD License', 'Decal on topper', 'Good little tendors', 'Little bling', 'Will not stay on 103', 'Great Trans oil for Harley Davidson', 'Water Proof is what I needed']",4.288888888888889,did not fit on with v h power duals good quality patch nice addition husky fusion floor liner perfect for the wife s vest nice patch great spoiler great savings crome nose trim ventshade ford fusion nice fit easy shift nice for exterior decal much better ride than oem works for my samsung galaxy nexus vw eos very comfortable may take some getting used to perfect fit not plastic all aluminum can t go wrong with these chaps five stars swing case zipper short otherwise ok good helmet lots of compliments be aware of install with v h much more comfortable perfect road slop protection does the job nice emblem fits good looks nice easy to install and looks great easy one and look nice looks a bit different in image i ordered this cusion but recieved the airhawk instead not once but twice not very appealing does what it is supposed to was cut on graphic area but did not catch in time to return nice interiour cling on sticker very limited dome but good colors this is a better deal than previous dash brush liv ryd license decal on topper good little tendors little bling will not stay on great trans oil for harley davidson water proof is what i needed
1,10,A117PEASIX5TJ,"['Very Pleased', 'Great product', 'Just not for me', ""It's okay"", 'Easy to see and works well', 'Great Item....', 'Works great...', 'These work great', ""Wayne's Review..."", ""Wayne's Review..."", 'Great Item....', ""It's Okay..."", 'Very good quality...', 'Nice Vest', 'What you see is not what you get...', ""It's just an ex-cord..."", 'It said it would fit my Stratoliner but there was no way...', 'Great for engine guards with slanted bars...', 'My Review of the GMax GM54S Helmet', 'Perfect for and project with a battery involved', 'Good quality', 'Great Stuff', 'This item is a lot bigger than you think...', ""I never ordered this item so don't know why they want me to review it..."", 'Great', 'They look just like the picture shown...', 'Works great...', ""Wayne's Review..."", 'I love it', 'My Review of the Raider Black Leather Gloves', 'Bought this for myself', 'Great Item....', 'Great Item....', 'Good test meter', 'Lots of room and well made', 'I love these leather chaps...', 'Returned', 'Works great...', 'I was impressed...']",4.128205128205129,very pleased great product just not for me it s okay easy to see and works well great item works great these work great wayne s review wayne s review great item it s okay very good quality nice vest what you see is not what you get it s just an ex cord it said it would fit my stratoliner but there was no way great for engine guards with slanted bars my review of the gmax gm s helmet perfect for and project with a battery involved good quality great stuff this item is a lot bigger than you think i never ordered this item so don t know why they want me to review it great they look just like the picture shown works great wayne s review i love it my review of the raider black leather gloves bought this for myself great item great item good test meter lots of room and well made i love these leather chaps returned works great i was impressed
2,12,A11IS70QN2SRAY,"[""it does it's job well"", 'They work well', 'Good product.', 'I wish I had thought of it', ""I couldn't have gotten by without it"", 'So far so good.', 'A GREAT PRODUCT', 'THERE ARE THINGS YOU SHOULD KNOW!!! Read my updates.', 'You absolutely cannot get a better ""dirty"" dual sport tire - period.', 'Fit my XR650L great & is hard to beat considering the low low price', '""Dual Sport"" designation is a bit misleading', 'its ok', 'Wonderful, wonderful thing to have in the shop', 'Great for soccer moms!', 'They saw me coming.', 'Wolfman motorcycle stuff is hard to beat.', ""It's okay"", 'A good product if you truly need it.', 'Nice but had to ""tweak"" one of them a bit.', 'A decent adventure boot at a very reasonable price', 'It bolted right on and works great, BUT...', 'nice', 'the cushions fell off']",3.9130434782608696,it does it s job well they work well good product i wish i had thought of it i couldn t have gotten by without it so far so good a great product there are things you should know read my updates you absolutely can not get a better dirty dual sport tire period fit my xr l great is hard to beat considering the low low price dual sport designation is a bit misleading its ok wonderful wonderful thing to have in the shop great for soccer moms they saw me coming wolfman motorcycle stuff is hard to beat it s okay a good product if you truly need it nice but had to tweak one of them a bit a decent adventure boot at a very reasonable price it bolted right on and works great but nice the cushions fell off
3,14,A11KQADBYE0UZL,"['This is a very well made & thought out Vacuum gauge.', 'Very high quality materials and build for a low price!', 'This looks nice but is made in China: maybe good, and maybe not?', 'These are very good, and the price is also very good.', 'Excellent made in USA quality & warrantee like no others.', 'For the money, this is about as good as it gets!', 'This is good as you can buy at any autoparts or local trailer supply: great price!', 'This is a very good unit!  Has features that may help you.', 'These are good tanks but do be aware.......', 'These lube injectors are GREAT!', 'These should help protect the guages well, but are a tad high priced.', 'A great programmer: with comparison to 2 others brands.', 'This is an excellent tank for the price!', 'This may not look good in picture but is very good!', 'This is a good unit for the price.....', 'The is a very good kit for little money.', 'This is my second unit from BatteryMINDer.....', 'These are NOT cheap, but are very well made and fit perfectly.', 'Good product and low cost.', 'Good product at a good price.', 'These are an excellent quality for the price!', 'Good product and reasonable price!', 'These are surprizingly well made for the money.', 'Oddly enough, this stuff does work.', 'This is a great ""little"" charger for the money!', 'This is quite an amazing 12VDC charger....... not cheap, but a good one.', 'Low cost touch-up paint is VERY close to perfect.', 'This is the best feature & function for the money I found.', 'This merely a good little charger.', 'These are very high quality parts in a tiny box.', 'This is top quality for low cost!', 'Robinair is a name you can trust, & is reasonably priced.', 'This is an excellent SS Vacuum pump for the money.', 'This product functionally works well, but not as good as a BullyDog III for the money.']",4.4411764705882355,this is a very well made thought out vacuum gauge very high quality materials and build for a low price this looks nice but is made in china maybe good and maybe not these are very good and the price is also very good excellent made in usa quality warrantee like no others for the money this is about as good as it gets this is good as you can buy at any autoparts or local trailer supply great price this is a very good unit has features that may help you these are good tanks but do be aware these lube injectors are great these should help protect the guages well but are a tad high priced a great programmer with comparison to others brands this is an excellent tank for the price this may not look good in picture but is very good this is a good unit for the price the is a very good kit for little money this is my second unit from batteryminder these are not cheap but are very well made and fit perfectly good product and low cost good product at a good price these are an excellent quality for the price good product and reasonable price these are surprizingly well made for the money oddly enough this stuff does work this is a great little charger for the money this is quite an amazing vdc charger not cheap but a good one low cost touch up paint is very close to perfect this is the best feature function for the money i found this merely a good little charger these are very high quality parts in a tiny box this is top quality for low cost robinair is a name you can trust is reasonably priced this is an excellent ss vacuum pump for the money this product functionally works well but not as good as a bullydog iii for the money
4,17,A11R1DUXU2YSHS,"['Got the job done But....', 'Now accurate oil pressure reading', 'Used for high pressure pump', 'used in a  rebuilt chevy 350 with approx 325 horsepower', 'good quality part', 'easy fix , save money $$$$', 'good price for brand new not rebuilt', 'good price for premium shock replacement', 'Good deal but pregapped incorrectly', 'surprised by the quality of these guages', 'Decent price and quality', 'good price and works as intended', 'Easy Fix for LifeFitness 9500HR equiptment', 'Great tool for coolant service', 'Helps lower carb temperature', 'Easy to apply and produces a nice glossy shine', 'Fits well and made well', 'used when replacing water pump and coolant', 'lowered engine operating temperature', 'Good quality cap & rotor', ""Appear we'll made but some problems"", 'Direct bolt on Chevy 350', 'Great pan gasket small block chevy 350', 'easy replacement, good quality part', 'Good quality belts', 'heavy duty filter with convenient install/removal Nut at end', 'You need this new screen if new pump installed', 'Great replacement option, Save $$$ from OEM Lexus', 'brake light upgrade for 2005 suburban', 'good quality v belt', 'fit like a glove and good price with shipping', 'good quality replacement , easy install', 'worked great, saved me money', 'cheap and easy way to dress up a 2005 suburban with hazed lights', 'well made and includes thermostat', 'replaced orignal  that had 114,000 miles', 'good fit, good price', 'well made premium filter', 'Good price, fast delivery, easy install', 'good price for TPM sesor, saved money', 'OEM quality part', 'Repaired leaking hoses', 'Third set for 2005 suburban', 'replaced bad ignition lock cylinder 2005 suburban', '5 minute install to replace fogged lenses 2005 Surburban', 'Lighter than stock radiator', 'Economical repair for aging tecumsah engine', 'works good but pricey', 'Two problems with these blades', 'Solves problem pickup tube from slipping off', 'good fit original equiptment for 2005 suburban', 'Replacement roof brake light for 2005 Suburban']",4.788461538461538,got the job done but now accurate oil pressure reading used for high pressure pump used in a rebuilt chevy with approx horsepower good quality part easy fix save money good price for brand new not rebuilt good price for premium shock replacement good deal but pregapped incorrectly surprised by the quality of these guages decent price and quality good price and works as intended easy fix for lifefitness hr equiptment great tool for coolant service helps lower carb temperature easy to apply and produces a nice glossy shine fits well and made well used when replacing water pump and coolant lowered engine operating temperature good quality cap rotor appear we ll made but some problems direct bolt on chevy great pan gasket small block chevy easy replacement good quality part good quality belts heavy duty filter with convenient install removal nut at end you need this new screen if new pump installed great replacement option save from oem lexus brake light upgrade for suburban good quality v belt fit like a glove and good price with shipping good quality replacement easy install worked great saved me money cheap and easy way to dress up a suburban with hazed lights well made and includes thermostat replaced orignal that had miles good fit good price well made premium filter good price fast delivery easy install good price for tpm sesor saved money oem quality part repaired leaking hoses third set for suburban replaced bad ignition lock cylinder suburban minute install to replace fogged lenses surburban lighter than stock radiator economical repair for aging tecumsah engine works good but pricey two problems with these blades solves problem pickup tube from slipping off good fit original equiptment for suburban replacement roof brake light for suburban
5,18,A11T43WK7C7OR4,"['Quad cover', 'Left rear tail light', 'Storage carrier', 'Rotors', 'Spark plugs', 'Trailer Jack', 'Helicoil tap and install tool.', 'Power outlets', 'Gauge and manifold', 'shocks', 'Receiver', 'R134 adapters', 'Olmstr', 'Trailer lights', 'Distributor cap', 'Eldelbrock Cam and lifters', 'Timing chain', 'Master cylinder', 'heat senser', 'Rotor', 'Nice belt', 'Head bolts', 'Nice wire at a good price', 'Winterizing fixture', 'Bubble flaring tool/Amazon.com', 'Door lock and unlock', 'Slotted rotors', 'Wiper blades', 'Hard to find Master Cyclinder/Amazon.com', 'Slotted Rotors', '12V power outlet', 'Trailer lock', 'rod cap studs', 'Lock those storage bins', 'A/C disconect tool', 'Wiper blades', 'ATV receiver hitch', 'Vent covers', 'Lift gate support', 'Replacement bulbs', 'Cabin air filter', 'Regulator', 'Tail Light Nissan Sentra/Amazon', 'Timing belt kit Honda delsol/Amazon.com', 'The little pump that can', 'Cooling system filler and bleeder', 'Drain line support']",4.829787234042553,quad cover left rear tail light storage carrier rotors spark plugs trailer jack helicoil tap and install tool power outlets gauge and manifold shocks receiver r adapters olmstr trailer lights distributor cap eldelbrock cam and lifters timing chain master cylinder heat senser rotor nice belt head bolts nice wire at a good price winterizing fixture bubble flaring tool amazon com door lock and unlock slotted rotors wiper blades hard to find master cyclinder amazon com slotted rotors v power outlet trailer lock rod cap studs lock those storage bins a c disconect tool wiper blades atv receiver hitch vent covers lift gate support replacement bulbs cabin air filter regulator tail light nissan sentra amazon timing belt kit honda delsol amazon com the little pump that can cooling system filler and bleeder drain line support
6,28,A134SAVADH6P71,"['Durable, Bright,Priced just right', 'good buy!', 'Cool little switch.', 'excellent buy !!!', 'Nice product good price', 'good little gadget', 'Definately quality', 'Great value', 'Super deal', 'Way cool', 'These are great', 'Super easy install', ""OOP's  Wrong end"", 'Great buy', 'Hefty!', 'Great price', 'Easy installation', 'Great value', 'Thanks much', 'Good quality, good price', 'Great Gadget!', 'Something missing!', 'Great looking', 'This product is excellent!!!!', 'Quality']",4.96,durable bright priced just right good buy cool little switch excellent buy nice product good price good little gadget definately quality great value super deal way cool these are great super easy install oop s wrong end great buy hefty great price easy installation great value thanks much good quality good price great gadget something missing great looking this product is excellent quality
7,33,A13S0N4A4ZEKZH,"['Wally World Hat', 'Korean Tires', 'Great for all leather.', 'Made In Korea', 'CherryBomb GlassPack?', 'Quality Fluid', 'Think About It', 'Perfect Fit', 'She Lies.  Catch Her.', 'They Work', 'OEM', 'Does It Work?', 'It Works', 'Every 15,000 Miles', 'They Work', 'Hotel Shampoo', 'Does The Job', 'What can you say about a drain pan?', 'Two In One', 'You Get What You Pay For', 'SAE 5W-20 Premium Synthetic Blend Motor Oil', 'Top Shelf', 'works', 'Bang For Your Buck, Right?', 'Essential', 'USE W/ P&S PAINT GLOSS', 'Good Stuff', 'As Stated', ""Leather Version of Levi's Trucker"", 'It Flashes', 'Best Value', 'Functions As Designed', 'They Work Out Of The Box', '0W-20 Full Synthetic Motor Oil', ""It's like chipping in for gas at the airport"", 'Lube Oil Filter', ""LEATHER LEVI'S TRUCKER"", ""Rollin', In My 5.0"", 'Use Your Imagination', 'Great Value', 'OEM FIT', 'CROSS REFERENCE?', 'Worth The Money', 'It Works', 'Oil Filters', 'Dependable', 'CHEAPEST TUNE-UP EVER', 'The Real Deal', 'CHEAPEST TUNE-UP EVER', '10-8', 'Ford FL1A', 'F6AZ-7A098-A', 'Air Filter', 'Change Every 15,000 Miles', 'OEM', ""Pakistan's Levi's Trucker Clone"", 'Excellent - Must Have!!', 'It Works', 'Light Up The Night']",4.932203389830509,wally world hat korean tires great for all leather made in korea cherrybomb glasspack quality fluid think about it perfect fit she lies catch her they work oem does it work it works every miles they work hotel shampoo does the job what can you say about a drain pan two in one you get what you pay for sae w premium synthetic blend motor oil top shelf works bang for your buck right essential use w p s paint gloss good stuff as stated leather version of levi s trucker it flashes best value functions as designed they work out of the box w full synthetic motor oil it s like chipping in for gas at the airport lube oil filter leather levi s trucker rollin in my use your imagination great value oem fit cross reference worth the money it works oil filters dependable cheapest tune up ever the real deal cheapest tune up ever ford fl a f az a a air filter change every miles oem pakistan s levi s trucker clone excellent must have it works light up the night
8,35,A13W04LMNR3UQ0,"[""It's a funny thing, how much I like this product!"", 'they do what you need them to', ""Griot's products are awesome--including these Red Waxing Pad"", 'So far so good..', ""does what it's supposed to"", 'This light is awesome! I am using it on the back of ...', 'BlueOx is the ONLY one to consider', 'Campco elbow is a cheap & easy RV mod.', 'Works great --lots of suds!', 'Excellent tool for waxing large and small...', 'Great pad for a Great tool', 'hard to ""love"" a wheel chock, but it does what it does.', ""Works great, but I'm not sure that it's anything special"", 'Awesome tool to make short work out of RV washing', ""This thing is great, even though it wouldn't work for me"", 'Wow.. even the #1 does a great job!', 'Helpful but not a solution for us.', 'while the inside remains pliable and almost like firm but not hardened chewing gum', 'Wish it were a little longer for my RV, but otherwise great.', 'This serves two useful functions for me', 'Makes my RV happy', 'Love my Camco Stove Topper', 'I like that this extension harness does NOT have a separate ...', 'kills the rattling and bumping instantly!', 'This is a must if you have the Heininger Hitch Extender', ""It's ok, but it's not as adjustable as advertised, and ..."", 'This is an Awesome, but overpriced bulb', 'not ideal for me, but still good stuff', 'no more flying foods!', ""Works as advertised, but I'm a little worried..."", 'piece of mind and tasty water', 'It is exactly what you think if you are an RVer']",4.65625,it s a funny thing how much i like this product they do what you need them to griot s products are awesome including these red waxing pad so far so good does what it s supposed to this light is awesome i am using it on the back of blueox is the only one to consider campco elbow is a cheap easy rv mod works great lots of suds excellent tool for waxing large and small great pad for a great tool hard to love a wheel chock but it does what it does works great but i m not sure that it s anything special awesome tool to make short work out of rv washing this thing is great even though it wouldn t work for me wow even the does a great job helpful but not a solution for us while the inside remains pliable and almost like firm but not hardened chewing gum wish it were a little longer for my rv but otherwise great this serves two useful functions for me makes my rv happy love my camco stove topper i like that this extension harness does not have a separate kills the rattling and bumping instantly this is a must if you have the heininger hitch extender it s ok but it s not as adjustable as advertised and this is an awesome but overpriced bulb not ideal for me but still good stuff no more flying foods works as advertised but i m a little worried piece of mind and tasty water it is exactly what you think if you are an rver
9,36,A13XP8Y6A33IVB,"['Good battery', 'O2 thread chaser', 'I like this better than the pressurized can', 'like them', 'Spark plugs', 'Initially good', 'Silverado User breakage', 'Nice oil at a good price', 'Factory replacement', 'Love them', 'Nice set, love the cross buff', 'Looks good but...', 'Nice filter', 'Updated filter', 'Fan of 303', 'Nice belt', 'The hitch......', 'Worked', 'nice detail spray', 'A Must Have', 'Worked well', 'works ok', 'upgraded factory replacement', 'Works pretty good', 'Useing for a couple months and I am happy', 'Nice and bright', 'Very pleased', 'High cost for less than factory fit', 'Avaoid 4th Gen Dodge Ram 1500 with front buckets', 'Super good']",4.266666666666667,good battery o thread chaser i like this better than the pressurized can like them spark plugs initially good silverado user breakage nice oil at a good price factory replacement love them nice set love the cross buff looks good but nice filter updated filter fan of nice belt the hitch worked nice detail spray a must have worked well works ok upgraded factory replacement works pretty good useing for a couple months and i am happy nice and bright very pleased high cost for less than factory fit avaoid th gen dodge ram with front buckets super good
